Package	Required_version	filename	downloadlink
cts	1.0-21	cts_1.0-21.tar.gz	https://cran.r-project.org/src/contrib/Archive/cts/cts_1.0-21.tar.gz
ctv	0.8-4	ctv_0.8-4.tar.gz	https://cran.r-project.org/src/contrib/Archive/ctv/ctv_0.8-4.tar.gz
cubature	1.3-11	cubature_1.3-11.tar.gz	https://cran.r-project.org/src/contrib/Archive/cubature/cubature_1.3-11.tar.gz
Cubist	0.2.1	Cubist_0.2.1.tar.gz	https://cran.r-project.org/src/contrib/Archive/Cubist/Cubist_0.2.1.tar.gz
curl	3.2	curl_3.2.tar.gz	https://cran.r-project.org/src/contrib/Archive/curl/curl_3.2.tar.gz
CVST	0.2-1	CVST_0.2-1.tar.gz	https://cran.r-project.org/src/contrib/Archive/CVST/CVST_0.2-1.tar.gz
cvTools	0.3.2	cvTools_0.3.2.tar.gz	https://cran.r-project.org/src/contrib/Archive/cvTools/cvTools_0.3.2.tar.gz
d3heatmap	0.6.1.2	d3heatmap_0.6.1.2.tar.gz	https://cran.r-project.org/src/contrib/Archive/d3heatmap/d3heatmap_0.6.1.2.tar.gz
d3Network	0.5.2.1	d3Network_0.5.2.1.tar.gz	https://cran.r-project.org/src/contrib/Archive/d3Network/d3Network_0.5.2.1.tar.gz
d3r	0.8.0	d3r_0.8.0.tar.gz	https://cran.r-project.org/src/contrib/Archive/d3r/d3r_0.8.0.tar.gz
data.table	1.12.6	data.table_1.12.6.tar.gz	https://cran.r-project.org/src/contrib/Archive/data.table/data.table_1.12.6.tar.gz
data.tree	0.7.5	data.tree_0.7.5.tar.gz	https://cran.r-project.org/src/contrib/Archive/data.tree/data.tree_0.7.5.tar.gz
datasauRus	0.1.4	datasauRus_0.1.4.tar.gz	https://cran.r-project.org/src/contrib/Archive/datasauRus/datasauRus_0.1.4.tar.gz
datasets	3.4.4	datasets_3.4.4.tar.gz	https://cran.r-project.org/src/contrib/Archive/datasets/datasets_3.4.4.tar.gz
date	1.2-38	date_1.2-38.tar.gz	https://cran.r-project.org/src/contrib/Archive/date/date_1.2-38.tar.gz
DBI	0.8	DBI_0.8.tar.gz	https://cran.r-project.org/src/contrib/Archive/DBI/DBI_0.8.tar.gz
dbplyr	1.2.1	dbplyr_1.2.1.tar.gz	https://cran.r-project.org/src/contrib/Archive/dbplyr/dbplyr_1.2.1.tar.gz
dbscan	1.1-1	dbscan_1.1-1.tar.gz	https://cran.r-project.org/src/contrib/Archive/dbscan/dbscan_1.1-1.tar.gz
dclone	2.2-0	dclone_2.2-0.tar.gz	https://cran.r-project.org/src/contrib/Archive/dclone/dclone_2.2-0.tar.gz
ddalpha	1.3.1.1	ddalpha_1.3.1.1.tar.gz	https://cran.r-project.org/src/contrib/Archive/ddalpha/ddalpha_1.3.1.1.tar.gz
deal	1.2-37	deal_1.2-37.tar.gz	https://cran.r-project.org/src/contrib/Archive/deal/deal_1.2-37.tar.gz
debugme	1.1.0	debugme_1.1.0.tar.gz	https://cran.r-project.org/src/contrib/Archive/debugme/debugme_1.1.0.tar.gz
deepnet	0.2	deepnet_0.2.tar.gz	https://cran.r-project.org/src/contrib/Archive/deepnet/deepnet_0.2.tar.gz
deldir	0.1-14	deldir_0.1-14.tar.gz	https://cran.r-project.org/src/contrib/Archive/deldir/deldir_0.1-14.tar.gz
dendextend	1.12.0	dendextend_1.12.0.tar.gz	https://cran.r-project.org/src/contrib/Archive/dendextend/dendextend_1.12.0.tar.gz
DEoptimR	1.0-8	DEoptimR_1.0-8.tar.gz	https://cran.r-project.org/src/contrib/Archive/DEoptimR/DEoptimR_1.0-8.tar.gz
deployrRserve	9.0.0	deployrRserve_9.0.0.tar.gz	https://cran.r-project.org/src/contrib/Archive/deployrRserve/deployrRserve_9.0.0.tar.gz
Deriv	3.8.4	Deriv_3.8.4.tar.gz	https://cran.r-project.org/src/contrib/Archive/Deriv/Deriv_3.8.4.tar.gz
desc	1.1.1	desc_1.1.1.tar.gz	https://cran.r-project.org/src/contrib/Archive/desc/desc_1.1.1.tar.gz
